"X1","X2","val","copies","privacy","parents","data"
"05.region","15.ysepdiv",0.187849484482115,1,0,0,"sd2011"
"05.region","16.ls",0.00338230585832433,1,0,0,"sd2011"
"05.region","17.depress",0.00401671117033888,1,0,0,"sd2011"
"05.region","18.trust",0.0026710527734138,1,0,0,"sd2011"
"05.region","19.trustfam",0.0013905332775875,1,0,0,"sd2011"
"05.region","20.trustneigh",0.00146588295713335,1,0,0,"sd2011"
"05.region","21.sport",0.00195532912495962,1,0,0,"sd2011"
"05.region","22.nofriend",0.0151559793781349,1,0,0,"sd2011"
"05.region","23.smoke",0.00117888814987635,1,0,0,"sd2011"
"05.region","24.nociga",0.000884927312296134,1,0,0,"sd2011"
"05.region","25.alcabuse",0.000810330846067188,1,0,0,"sd2011"
"05.region","26.alcsol",0.00252212829886998,1,0,0,"sd2011"
"05.region","27.workab",0.0122783738689892,1,0,0,"sd2011"
"05.region","28.wkabdur",0.178442110496381,1,0,0,"sd2011"
"05.region","29.wkabint",0.00222919714951279,1,0,0,"sd2011"
"05.region","30.wkabintdur",0.221932309708731,1,0,0,"sd2011"
"05.region","31.emcc",0.224467584517537,1,0,0,"sd2011"
"05.region","32.englang",0.00161648962460622,1,0,0,"sd2011"
"05.region","33.height",0.00672614055552003,1,0,0,"sd2011"
"05.region","34.weight",0.0033608205890748,1,0,0,"sd2011"
"05.region","35.bmi",0.0315833587256435,1,0,0,"sd2011"
"06.edu","07.eduspec",0.0565586846950393,1,0,0,"sd2011"
"06.edu","08.socprof",0.0176959581762769,1,0,0,"sd2011"
"06.edu","09.unempdur",0.00238299120693962,1,0,0,"sd2011"
"06.edu","10.income",0.0319847126045402,1,0,0,"sd2011"
"06.edu","11.marital",0.00491448638938006,1,0,0,"sd2011"
"06.edu","12.mmarr",0.0407344287652336,1,0,0,"sd2011"
"06.edu","13.ymarr",0.0514620874772591,1,0,0,"sd2011"
"06.edu","14.msepdiv",0.191447554858438,1,0,0,"sd2011"
"06.edu","15.ysepdiv",0.189654359096856,1,0,0,"sd2011"
"06.edu","16.ls",0.00386262062755266,1,0,0,"sd2011"
"06.edu","17.depress",0.0102276797555371,1,0,0,"sd2011"
"06.edu","18.trust",0.0016083593390858,1,0,0,"sd2011"
"06.edu","19.trustfam",0.00158613037753659,1,0,0,"sd2011"
"06.edu","20.trustneigh",0.00103290933579716,1,0,0,"sd2011"
"06.edu","21.sport",0.00619479240580512,1,0,0,"sd2011"
"06.edu","22.nofriend",0.0142914292010259,1,0,0,"sd2011"
"06.edu","23.smoke",0.00186214995060849,1,0,0,"sd2011"
"06.edu","24.nociga",0.00168953062124927,1,0,0,"sd2011"
"06.edu","25.alcabuse",0.000617138081453932,1,0,0,"sd2011"
"06.edu","26.alcsol",0.0025106328887771,1,0,0,"sd2011"
"06.edu","27.workab",0.0117675439503536,1,0,0,"sd2011"
"06.edu","28.wkabdur",0.178234618216251,1,0,0,"sd2011"
"06.edu","29.wkabint",0.00188941766512906,1,0,0,"sd2011"
"06.edu","30.wkabintdur",0.221709006289771,1,0,0,"sd2011"
"06.edu","31.emcc",0.223384243891711,1,0,0,"sd2011"
"06.edu","32.englang",0.0130195032702109,1,0,0,"sd2011"
"06.edu","33.height",0.00673717814437256,1,0,0,"sd2011"
"06.edu","34.weight",0.00269535683800003,1,0,0,"sd2011"
"06.edu","35.bmi",0.0312974358182875,1,0,0,"sd2011"
"07.eduspec","08.socprof",0.0267164123022372,1,0,0,"sd2011"
"07.eduspec","09.unempdur",0.00379544132876247,1,0,0,"sd2011"
"07.eduspec","10.income",0.0338430291073476,1,0,0,"sd2011"
"07.eduspec","11.marital",0.0108366783131073,1,0,0,"sd2011"
"07.eduspec","12.mmarr",0.0433998618383302,1,0,0,"sd2011"
"07.eduspec","13.ymarr",0.0521622395871835,1,0,0,"sd2011"
"07.eduspec","14.msepdiv",0.191247691127807,1,0,0,"sd2011"
"07.eduspec","15.ysepdiv",0.189831419003694,1,0,0,"sd2011"
"07.eduspec","16.ls",0.0047456618480455,1,0,0,"sd2011"
"07.eduspec","17.depress",0.00853891901495075,1,0,0,"sd2011"
"07.eduspec","18.trust",0.00345195318240718,1,0,0,"sd2011"
"07.eduspec","19.trustfam",0.00304982226646923,1,0,0,"sd2011"
"07.eduspec","20.trustneigh",0.00304014817879364,1,0,0,"sd2011"
"07.eduspec","21.sport",0.00392462442870877,1,0,0,"sd2011"
"07.eduspec","22.nofriend",0.0160438454186678,1,0,0,"sd2011"
"07.eduspec","23.smoke",0.00245440281319732,1,0,0,"sd2011"
"07.eduspec","24.nociga",0.00212834341505054,1,0,0,"sd2011"
"07.eduspec","25.alcabuse",0.00191397492100081,1,0,0,"sd2011"
"07.eduspec","26.alcsol",0.00346335201938046,1,0,0,"sd2011"
"07.eduspec","27.workab",0.0135100586601132,1,0,0,"sd2011"
"07.eduspec","28.wkabdur",0.178863563744157,1,0,0,"sd2011"
"07.eduspec","29.wkabint",0.00260190620281033,1,0,0,"sd2011"
"07.eduspec","30.wkabintdur",0.222107366672942,1,0,0,"sd2011"
"07.eduspec","31.emcc",0.224500022087858,1,0,0,"sd2011"
"07.eduspec","32.englang",0.0105198800070541,1,0,0,"sd2011"
"07.eduspec","33.height",0.0137143360924717,1,0,0,"sd2011"
"07.eduspec","34.weight",0.0103627621138601,1,0,0,"sd2011"
"07.eduspec","35.bmi",0.0349875701136649,1,0,0,"sd2011"
"08.socprof","09.unempdur",0.0144798841373163,1,0,0,"sd2011"
"08.socprof","10.income",0.047320948477097,1,0,0,"sd2011"
"08.socprof","11.marital",0.030557083593209,1,0,0,"sd2011"
"08.socprof","12.mmarr",0.0513033695371878,1,0,0,"sd2011"
"08.socprof","13.ymarr",0.080454720645734,1,0,0,"sd2011"
"08.socprof","14.msepdiv",0.193892205149967,1,0,0,"sd2011"
"08.socprof","15.ysepdiv",0.192775763309839,1,0,0,"sd2011"
"08.socprof","16.ls",0.00598154905307847,1,0,0,"sd2011"
"08.socprof","17.depress",0.0277726673576832,1,0,0,"sd2011"
"08.socprof","18.trust",0.00271776452477493,1,0,0,"sd2011"
"08.socprof","19.trustfam",0.00194091510526435,1,0,0,"sd2011"
"08.socprof","20.trustneigh",0.00264087370882205,1,0,0,"sd2011"
"08.socprof","21.sport",0.00888352793204261,1,0,0,"sd2011"
"08.socprof","22.nofriend",0.0151065739431519,1,0,0,"sd2011"
"08.socprof","23.smoke",0.00494593525203534,1,0,0,"sd2011"
"08.socprof","24.nociga",0.00495452364044792,1,0,0,"sd2011"
"08.socprof","25.alcabuse",0.00223971944619004,1,0,0,"sd2011"
"08.socprof","26.alcsol",0.00382751222089188,1,0,0,"sd2011"
"08.socprof","27.workab",0.0161249849289589,1,0,0,"sd2011"
"08.socprof","28.wkabdur",0.178768865425751,1,0,0,"sd2011"
"08.socprof","29.wkabint",0.00529096694060367,1,0,0,"sd2011"
"08.socprof","30.wkabintdur",0.222643615500584,1,0,0,"sd2011"
"08.socprof","31.emcc",0.224443407008584,1,0,0,"sd2011"
"08.socprof","32.englang",0.021230254387703,1,0,0,"sd2011"
"08.socprof","33.height",0.0108899351898999,1,0,0,"sd2011"
"08.socprof","34.weight",0.00740553755176941,1,0,0,"sd2011"
"08.socprof","35.bmi",0.0401614214791978,1,0,0,"sd2011"
"09.unempdur","10.income",0.0227277000413491,1,0,0,"sd2011"
"09.unempdur","11.marital",0.00197772038465987,1,0,0,"sd2011"
"09.unempdur","12.mmarr",0.0399741794737184,1,0,0,"sd2011"
"09.unempdur","13.ymarr",0.0406417805325667,1,0,0,"sd2011"
"09.unempdur","14.msepdiv",0.188985395883171,1,0,0,"sd2011"
"09.unempdur","15.ysepdiv",0.18721684806354,1,0,0,"sd2011"
"09.unempdur","16.ls",0.0018185720611467,1,0,0,"sd2011"
"09.unempdur","17.depress",0.00400801026869638,1,0,0,"sd2011"
"09.unempdur","18.trust",0.00120121470785634,1,0,0,"sd2011"
"09.unempdur","19.trustfam",0.00036557479583699,1,0,0,"sd2011"
"09.unempdur","20.trustneigh",0.000430334972729845,1,0,0,"sd2011"
"09.unempdur","21.sport",0.00137126785949022,1,0,0,"sd2011"
"09.unempdur","22.nofriend",0.0131450977083187,1,0,0,"sd2011"
"09.unempdur","23.smoke",0.000622862177723753,1,0,0,"sd2011"
"09.unempdur","24.nociga",0.000289741436618636,1,0,0,"sd2011"
"09.unempdur","25.alcabuse",0.000283103989241107,1,0,0,"sd2011"
"09.unempdur","26.alcsol",0.00222597110696417,1,0,0,"sd2011"
"09.unempdur","27.workab",0.0117651366084194,1,0,0,"sd2011"
"09.unempdur","28.wkabdur",0.178210840503165,1,0,0,"sd2011"
"09.unempdur","29.wkabint",0.000937859083694225,1,0,0,"sd2011"
"09.unempdur","30.wkabintdur",0.221484923103898,1,0,0,"sd2011"
"09.unempdur","31.emcc",0.22311844318126,1,0,0,"sd2011"
"09.unempdur","32.englang",0.00168373216565998,1,0,0,"sd2011"
"09.unempdur","33.height",0.00543112636319238,1,0,0,"sd2011"
"09.unempdur","34.weight",0.00233945047312818,1,0,0,"sd2011"
"09.unempdur","35.bmi",0.0306687265528103,1,0,0,"sd2011"
"10.income","11.marital",0.0264040487897667,1,0,0,"sd2011"
"10.income","12.mmarr",0.0514813212536307,1,0,0,"sd2011"
"10.income","13.ymarr",0.0565697292918807,1,0,0,"sd2011"
"10.income","14.msepdiv",0.191388778586855,1,0,0,"sd2011"
"10.income","15.ysepdiv",0.189984463816552,1,0,0,"sd2011"
"10.income","16.ls",0.0243994101528693,1,0,0,"sd2011"
"10.income","17.depress",0.0294597679096763,1,0,0,"sd2011"
"10.income","18.trust",0.0215390338041074,1,0,0,"sd2011"
"10.income","19.trustfam",0.0213883345129793,1,0,0,"sd2011"
"10.income","20.trustneigh",0.0211385006074098,1,0,0,"sd2011"
"10.income","21.sport",0.0247424230693497,1,0,0,"sd2011"
"10.income","22.nofriend",0.0323101433650645,1,0,0,"sd2011"
"10.income","23.smoke",0.0205275560381293,1,0,0,"sd2011"
"10.income","24.nociga",0.0202594578236189,1,0,0,"sd2011"
"10.income","25.alcabuse",0.0207450996750556,1,0,0,"sd2011"
"10.income","26.alcsol",0.0223550302893457,1,0,0,"sd2011"
"10.income","27.workab",0.0269637611591704,1,0,0,"sd2011"
"10.income","28.wkabdur",0.181407699961219,1,0,0,"sd2011"
"10.income","29.wkabint",0.0214994998666103,1,0,0,"sd2011"
"10.income","30.wkabintdur",0.228537595500682,1,0,0,"sd2011"
"10.income","31.emcc",0.230371734123673,1,0,0,"sd2011"
"10.income","32.englang",0.0253533491042674,1,0,0,"sd2011"
"10.income","33.height",0.0275304338697512,1,0,0,"sd2011"
"10.income","34.weight",0.0239966378968442,1,0,0,"sd2011"
"10.income","35.bmi",0.0521816542391786,1,0,0,"sd2011"
"11.marital","12.mmarr",0.0661147729772208,1,0,0,"sd2011"
"11.marital","13.ymarr",0.0734624979732976,1,0,0,"sd2011"
"11.marital","14.msepdiv",0.214832511939549,1,0,0,"sd2011"
"11.marital","15.ysepdiv",0.214194582231173,1,0,0,"sd2011"
"11.marital","16.ls",0.00546542426809611,1,0,0,"sd2011"
"11.marital","17.depress",0.0162879314098471,1,0,0,"sd2011"
"11.marital","18.trust",0.00184037754257881,1,0,0,"sd2011"
"11.marital","19.trustfam",0.00144967461778802,1,0,0,"sd2011"
"11.marital","20.trustneigh",0.00217619893673886,1,0,0,"sd2011"
"11.marital","21.sport",0.00737437307069043,1,0,0,"sd2011"
"11.marital","22.nofriend",0.0143360350765818,1,0,0,"sd2011"
"11.marital","23.smoke",0.0014288504851948,1,0,0,"sd2011"
"11.marital","24.nociga",0.00102199717705784,1,0,0,"sd2011"
"11.marital","25.alcabuse",0.00135924784088559,1,0,0,"sd2011"
"11.marital","26.alcsol",0.00275429204254585,1,0,0,"sd2011"
"11.marital","27.workab",0.0133404763095172,1,0,0,"sd2011"
"11.marital","28.wkabdur",0.17830072378529,1,0,0,"sd2011"
"11.marital","29.wkabint",0.00296714581285887,1,0,0,"sd2011"
"11.marital","30.wkabintdur",0.222366686802641,1,0,0,"sd2011"
"11.marital","31.emcc",0.223876282109727,1,0,0,"sd2011"
"11.marital","32.englang",0.0140931163690924,1,0,0,"sd2011"
"11.marital","33.height",0.0116534613447351,1,0,0,"sd2011"
"11.marital","34.weight",0.00591859553848116,1,0,0,"sd2011"
"11.marital","35.bmi",0.0375211685070093,1,0,0,"sd2011"
"12.mmarr","13.ymarr",0.0407934933476762,1,0,0,"sd2011"
"12.mmarr","14.msepdiv",0.19057161022343,1,0,0,"sd2011"
"12.mmarr","15.ysepdiv",0.189556675530556,1,0,0,"sd2011"
"12.mmarr","16.ls",0.0401086646041583,1,0,0,"sd2011"
"12.mmarr","17.depress",0.0441137128222929,1,0,0,"sd2011"
"12.mmarr","18.trust",0.0400364825387798,1,0,0,"sd2011"
"12.mmarr","19.trustfam",0.0394526420154013,1,0,0,"sd2011"
"12.mmarr","20.trustneigh",0.0393862441396317,1,0,0,"sd2011"
"12.mmarr","21.sport",0.0411068694386906,1,0,0,"sd2011"
"12.mmarr","22.nofriend",0.0493555212791501,1,0,0,"sd2011"
"12.mmarr","23.smoke",0.0393141893773873,1,0,0,"sd2011"
"12.mmarr","24.nociga",0.0391459953391366,1,0,0,"sd2011"
"12.mmarr","25.alcabuse",0.0394134056693014,1,0,0,"sd2011"
"12.mmarr","26.alcsol",0.0411502323713856,1,0,0,"sd2011"
"12.mmarr","27.workab",0.0421230525906009,1,0,0,"sd2011"
"12.mmarr","28.wkabdur",0.184875782627732,1,0,0,"sd2011"
"12.mmarr","29.wkabint",0.0403940717746681,1,0,0,"sd2011"
"12.mmarr","30.wkabintdur",0.236344618869631,1,0,0,"sd2011"
"12.mmarr","31.emcc",0.237257129252833,1,0,0,"sd2011"
"12.mmarr","32.englang",0.0433281220509044,1,0,0,"sd2011"
"12.mmarr","33.height",0.0449260385682914,1,0,0,"sd2011"
"12.mmarr","34.weight",0.0415953367705831,1,0,0,"sd2011"
"12.mmarr","35.bmi",0.0696634613427961,1,0,0,"sd2011"
"13.ymarr","14.msepdiv",0.193085834488598,1,0,0,"sd2011"
"13.ymarr","15.ysepdiv",0.191918340493868,1,0,0,"sd2011"
"13.ymarr","16.ls",0.0398251798523427,1,0,0,"sd2011"
"13.ymarr","17.depress",0.0593753378724057,1,0,0,"sd2011"
"13.ymarr","18.trust",0.0391278320875936,1,0,0,"sd2011"
"13.ymarr","19.trustfam",0.0386350702821034,1,0,0,"sd2011"
"13.ymarr","20.trustneigh",0.0397204734609135,1,0,0,"sd2011"
"13.ymarr","21.sport",0.0421310514366806,1,0,0,"sd2011"
"13.ymarr","22.nofriend",0.0487713130278914,1,0,0,"sd2011"
"13.ymarr","23.smoke",0.0407894248865681,1,0,0,"sd2011"
"13.ymarr","24.nociga",0.0402344833278947,1,0,0,"sd2011"
"13.ymarr","25.alcabuse",0.0393788745914756,1,0,0,"sd2011"
"13.ymarr","26.alcsol",0.0402081272755959,1,0,0,"sd2011"
"13.ymarr","27.workab",0.041997439630023,1,0,0,"sd2011"
"13.ymarr","28.wkabdur",0.184921002706886,1,0,0,"sd2011"
"13.ymarr","29.wkabint",0.0405752475365819,1,0,0,"sd2011"
"13.ymarr","30.wkabintdur",0.236195097799453,1,0,0,"sd2011"
"13.ymarr","31.emcc",0.237265528199388,1,0,0,"sd2011"
"13.ymarr","32.englang",0.0504602446221581,1,0,0,"sd2011"
"13.ymarr","33.height",0.0471695525785681,1,0,0,"sd2011"
"13.ymarr","34.weight",0.0418512788242766,1,0,0,"sd2011"
