"X1","X2","val","copies","data"
"06.eduspec","30.emcc",0.0060239508233973,5,"sd2011_clean_small"
"06.eduspec","31.englang",0.00737397589341074,5,"sd2011_clean_small"
"06.eduspec","32.height",0.00960431765219459,5,"sd2011_clean_small"
"06.eduspec","33.weight",0.0113980419692366,5,"sd2011_clean_small"
"07.socprof","08.unempdur",0.00722910414556347,5,"sd2011_clean_small"
"07.socprof","09.income",0.00392246249391165,5,"sd2011_clean_small"
"07.socprof","10.marital",0.00143757427245098,5,"sd2011_clean_small"
"07.socprof","11.mmarr",0.000888319996994541,5,"sd2011_clean_small"
"07.socprof","12.ymarr",0.00690268499908402,5,"sd2011_clean_small"
"07.socprof","13.msepdiv",0.00243492572329268,5,"sd2011_clean_small"
"07.socprof","14.ysepdiv",0.00389488161065875,5,"sd2011_clean_small"
"07.socprof","15.ls",0.003089787846337,5,"sd2011_clean_small"
"07.socprof","16.depress",0.00111844602713337,5,"sd2011_clean_small"
"07.socprof","17.trust",0.000910146695688756,5,"sd2011_clean_small"
"07.socprof","18.trustfam",0.00106406115146745,5,"sd2011_clean_small"
"07.socprof","19.trustneigh",0.00121311717094394,5,"sd2011_clean_small"
"07.socprof","20.sport",0.00244112343057883,5,"sd2011_clean_small"
"07.socprof","21.nofriend",0.00227207947424052,5,"sd2011_clean_small"
"07.socprof","22.smoke",0.000359378246424415,5,"sd2011_clean_small"
"07.socprof","23.nociga",0.00109186099497449,5,"sd2011_clean_small"
"07.socprof","24.alcabuse",0.00125602858047731,5,"sd2011_clean_small"
"07.socprof","25.alcsol",0.0010258949154893,5,"sd2011_clean_small"
"07.socprof","26.workab",0.00671462196850055,5,"sd2011_clean_small"
"07.socprof","27.wkabdur",0.00145409830180845,5,"sd2011_clean_small"
"07.socprof","28.wkabint",0.00105864795516666,5,"sd2011_clean_small"
"07.socprof","29.wkabintdur",0.00136610582133943,5,"sd2011_clean_small"
"07.socprof","30.emcc",0.00290810009601679,5,"sd2011_clean_small"
"07.socprof","31.englang",0.00677281040513719,5,"sd2011_clean_small"
"07.socprof","32.height",0.00286716786304812,5,"sd2011_clean_small"
"07.socprof","33.weight",0.00790534249592336,5,"sd2011_clean_small"
"08.unempdur","09.income",0.00192753413903355,5,"sd2011_clean_small"
