"X1","X2","val","data","sdg"
"06.eduspec","09.income",0.00543151170549922,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","10.marital",0.00392236992309041,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","11.mmarr",0.00402630924428446,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","12.ymarr",0.00342995307742349,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","13.msepdiv",0.00382362706070451,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","14.ysepdiv",0.0035343812551646,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","15.ls",0.0042404814434775,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","16.depress",0.00154158777321481,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","17.trust",0.00245015279422888,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","18.trustfam",0.00194701597228866,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","19.trustneigh",0.00132691311329617,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","20.sport",0.00087711492295848,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","21.nofriend",0.0099269417621445,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","22.smoke",0.0019309873552173,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","23.nociga",0.00377967478276523,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","24.alcabuse",0.00166574812786239,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","25.alcsol",0.00166705151448025,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","26.workab",0.00218354545116002,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","27.wkabdur",0.0022187269779093,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","28.wkabint",0.00197738143313553,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","29.wkabintdur",0.00234699029561134,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","30.emcc",0.00354581082698356,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","31.englang",0.00283472941009999,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","32.height",0.0118469049871305,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","33.weight",0.00813937417575865,"sd2011_clean_small","DataSynthesizer"
"07.socprof","08.unempdur",0.00061493072479546,"sd2011_clean_small","DataSynthesizer"
"07.socprof","09.income",0.00289061123832076,"sd2011_clean_small","DataSynthesizer"
"07.socprof","10.marital",0.00100889348777559,"sd2011_clean_small","DataSynthesizer"
"07.socprof","11.mmarr",0.00132318455580879,"sd2011_clean_small","DataSynthesizer"
"07.socprof","12.ymarr",0.00124998789365546,"sd2011_clean_small","DataSynthesizer"
"07.socprof","13.msepdiv",0.00121270484469878,"sd2011_clean_small","DataSynthesizer"
"07.socprof","14.ysepdiv",0.00110330676314398,"sd2011_clean_small","DataSynthesizer"
"07.socprof","15.ls",0.00395619435790851,"sd2011_clean_small","DataSynthesizer"
"07.socprof","16.depress",0.00250254146758138,"sd2011_clean_small","DataSynthesizer"
"07.socprof","17.trust",0.00123334653602315,"sd2011_clean_small","DataSynthesizer"
"07.socprof","18.trustfam",0.00090609812959528,"sd2011_clean_small","DataSynthesizer"
"07.socprof","19.trustneigh",0.000860035212098177,"sd2011_clean_small","DataSynthesizer"
"07.socprof","20.sport",0.00202514232036513,"sd2011_clean_small","DataSynthesizer"
"07.socprof","21.nofriend",0.00809116342363606,"sd2011_clean_small","DataSynthesizer"
"07.socprof","22.smoke",0.00139979295127447,"sd2011_clean_small","DataSynthesizer"
"07.socprof","23.nociga",0.001887299229906,"sd2011_clean_small","DataSynthesizer"
"07.socprof","24.alcabuse",0.000546489111350379,"sd2011_clean_small","DataSynthesizer"
"07.socprof","25.alcsol",0.000701072498270365,"sd2011_clean_small","DataSynthesizer"
"07.socprof","26.workab",0.003469121055444,"sd2011_clean_small","DataSynthesizer"
"07.socprof","27.wkabdur",0.00148039372784665,"sd2011_clean_small","DataSynthesizer"
"07.socprof","28.wkabint",0.00156570057011309,"sd2011_clean_small","DataSynthesizer"
"07.socprof","29.wkabintdur",0.0018842632587473,"sd2011_clean_small","DataSynthesizer"
"07.socprof","30.emcc",0.00272664719672794,"sd2011_clean_small","DataSynthesizer"
"07.socprof","31.englang",0.00406127177149557,"sd2011_clean_small","DataSynthesizer"
"07.socprof","32.height",0.00571409613510997,"sd2011_clean_small","DataSynthesizer"
"07.socprof","33.weight",0.00276377341598985,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","09.income",0.00193239901891584,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","10.marital",0.000585278674608134,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","11.mmarr",0.000392947617970616,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","12.ymarr",0.000689695657767092,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","13.msepdiv",0.000260465970473836,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","14.ysepdiv",0.000496227229641322,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","15.ls",0.000595814738750234,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","16.depress",0.000455300871726539,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","17.trust",0.000279434584841064,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","18.trustfam",0.000258372984312733,"sd2011_clean_small","DataSynthesizer"
"08.unempdur","19.trustneigh",0.000176125654660498,"sd2011_clean_small","DataSynthesizer"
